Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			0.260680		0.000004																																																																													-0.257722						-0.000000											-0.000000																										0.000000																																												-0.011166	0.008203																			0.000000	
 1 	 2			0.105525		0.000004																																																																													-0.103089						-0.000000											-0.000000																										0.000000																																												-0.010845	0.008405																			0.000000	
 1 	 3			0.054942		0.000004																																																																													-0.051544						-0.000000											-0.000000																										0.000000																																												-0.011029	0.007626																			0.000000	
 1 	 4			0.621155		0.000004																																																																													-0.618533						-0.000000											-0.000000																										0.000000																																												-0.010908	0.008281																			0.000000	
 1 	 5			1.650808		0.000004																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.010349	0.008957																			0.000000	
 1 	 6			4.124259		0.000004																																																																													-4.123552						-0.000000											-0.000000																										0.000000																																												-0.009945	0.009234																			0.000000	
 1 	 7			7.988874		0.000004																																																																													-7.989381						-0.000000											-0.000000																										0.000000																																												-0.008948	0.009451																			0.000000	
 1 	 8			6.958492		0.000004																																																																													-6.958494						-0.000000											-0.000000																										0.000000																																												-0.009193	0.009191																			0.000000	
 1 	 9			6.443230		0.000004																																																																													-6.443050						-0.000000											-0.000000																										0.000000																																												-0.009607	0.009422																			0.000000	
 1 	 10			7.216248		0.000004																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.009205	0.009167																			0.000000	
 1 	 11			8.247269		0.000004																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.009256	0.009086																			0.000000	
 1 	 12			9.071721		0.000004																																																																													-9.071814						-0.000000											-0.000000																										0.000000																																												-0.009115	0.009203																			0.000000	
 1 	 13			8.247316		0.000004																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.009278	0.009061																			0.000000	
 1 	 14			8.350394		0.000004																																																																													-8.350192						-0.000000											-0.000000																										0.000000																																												-0.009270	0.009064																			0.000000	
 1 	 15			9.380964		0.000004																																																																													-9.381080						-0.000000											-0.000000																										0.000000																																												-0.009097	0.009210																			0.000000	
 1 	 16			9.793230		0.000004																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.009050	0.009251																			0.000000	
 1 	 17			9.793300		0.000004																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.009085	0.009216																			0.000000	
 1 	 18			7.216620		0.000004																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.009408	0.008999																			0.000000	
 1 	 19			5.155462		0.000004																																																																													-5.154440						-0.000000											-0.000000																										0.000000																																												-0.010054	0.009027																			0.000000	
 1 	 20			3.866904		0.000004																																																																													-3.865830						-0.000000											-0.000000																										0.000000																																												-0.010124	0.009044																			0.000000	
 1 	 21			2.578362		0.000004																																																																													-2.577220						-0.000000											-0.000000																										0.000000																																												-0.010212	0.009065																			0.000000	
 1 	 22			1.650919		0.000004																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.010399	0.008896																			0.000000	
 1 	 23			1.032876		0.000004																																																																													-1.030888						-0.000000											-0.000000																										0.000000																																												-0.010586	0.008593																			0.000000	
 1 	 24			0.415397		0.000004																																																																													-0.412355						-0.000000											-0.000000																										0.000000																																												-0.011177	0.008130																			0.000000	
 2 	 1			0.259966		0.000001																																																																													-0.257722						-0.000000											-0.000000																										0.000000																																												-0.010733	0.008488																			0.000000	
 2 	 2			0.104637		0.000001																																																																													-0.103089						-0.000000											-0.000000																										0.000000																																												-0.010051	0.008501																			0.000000	
 2 	 3			0.053653		0.000001																																																																													-0.051544						-0.000000											-0.000000																										0.000000																																												-0.010289	0.008178																			0.000000	
 2 	 4			0.620250		0.000001																																																																													-0.618533						-0.000000											-0.000000																										0.000000																																												-0.010369	0.008650																			0.000000	
 2 	 5			1.649937		0.000001																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.009878	0.009360																			0.000000	
 2 	 6			4.123720		0.000001																																																																													-4.123552						-0.000000											-0.000000																										0.000000																																												-0.009618	0.009448																			0.000000	
 2 	 7			7.987359		0.000001																																																																													-7.989381						-0.000000											-0.000000																										0.000000																																												-0.008271	0.010292																			0.000000	
 2 	 8			6.957413		0.000001																																																																													-6.958494						-0.000000											-0.000000																										0.000000																																												-0.008655	0.009734																			0.000000	
 2 	 9			6.442332		0.000001																																																																													-6.443050						-0.000000											-0.000000																										0.000000																																												-0.009141	0.009857																			0.000000	
 2 	 10			7.215127		0.000001																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.008663	0.009750																			0.000000	
 2 	 11			8.246101		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008683	0.009684																			0.000000	
 2 	 12			9.070398		0.000001																																																																													-9.071814						-0.000000											-0.000000																										0.000000																																												-0.008502	0.009916																			0.000000	
 2 	 13			8.246095		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008679	0.009686																			0.000000	
 2 	 14			8.349135		0.000001																																																																													-8.350192						-0.000000											-0.000000																										0.000000																																												-0.008652	0.009708																			0.000000	
 2 	 15			9.379555		0.000001																																																																													-9.381080						-0.000000											-0.000000																										0.000000																																												-0.008440	0.009963																			0.000000	
 2 	 16			9.791793		0.000001																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.008386	0.010026																			0.000000	
 2 	 17			9.791923		0.000001																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.008450	0.009961																			0.000000	
 2 	 18			7.215432		0.000001																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.008887	0.009669																			0.000000	
 2 	 19			5.154639		0.000001																																																																													-5.154440						-0.000000											-0.000000																										0.000000																																												-0.009599	0.009398																			0.000000	
 2 	 20			3.865993		0.000001																																																																													-3.865830						-0.000000											-0.000000																										0.000000																																												-0.009600	0.009435																			0.000000	
 2 	 21			2.577303		0.000001																																																																													-2.577220						-0.000000											-0.000000																										0.000000																																												-0.009631	0.009546																			0.000000	
 2 	 22			1.649742		0.000001																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.009786	0.009463																			0.000000	
 2 	 23			1.031733		0.000001																																																																													-1.030888						-0.000000											-0.000000																										0.000000																																												-0.009972	0.009125																			0.000000	
 2 	 24			0.414432		0.000001																																																																													-0.412355						-0.000000											-0.000000																										0.000000																																												-0.010597	0.008518																			0.000000	
 3 	 1			0.260227		0.000001																																																																													-0.257722						-0.000000											-0.000000																										0.000000																																												-0.010901	0.008394																			0.000000	
 3 	 2			0.104949		0.000001																																																																													-0.103089						-0.000000											-0.000000																										0.000000																																												-0.010224	0.008362																			0.000000	
 3 	 3			0.054259		0.000001																																																																													-0.051544						-0.000000											-0.000000																										0.000000																																												-0.010614	0.007898																			0.000000	
 3 	 4			0.620773		0.000001																																																																													-0.618533						-0.000000											-0.000000																										0.000000																																												-0.010671	0.008429																			0.000000	
 3 	 5			1.650433		0.000001																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.010154	0.009141																			0.000000	
 3 	 6			4.124065		0.000001																																																																													-4.123552						-0.000000											-0.000000																										0.000000																																												-0.009830	0.009316																			0.000000	
 3 	 7			7.988173		0.000001																																																																													-7.989381						-0.000000											-0.000000																										0.000000																																												-0.008624	0.009831																			0.000000	
 3 	 8			6.958190		0.000001																																																																													-6.958494						-0.000000											-0.000000																										0.000000																																												-0.008993	0.009295																			0.000000	
 3 	 9			6.443044		0.000001																																																																													-6.443050						-0.000000											-0.000000																										0.000000																																												-0.009489	0.009494																			0.000000	
 3 	 10			7.215935		0.000001																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.009016	0.009296																			0.000000	
 3 	 11			8.246468		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008869	0.009504																			0.000000	
 3 	 12			9.070764		0.000001																																																																													-9.071814						-0.000000											-0.000000																										0.000000																																												-0.008691	0.009739																			0.000000	
 3 	 13			8.246374		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008839	0.009568																			0.000000	
 3 	 14			8.349369		0.000001																																																																													-8.350192						-0.000000											-0.000000																										0.000000																																												-0.008797	0.009619																			0.000000	
 3 	 15			9.379764		0.000001																																																																													-9.381080						-0.000000											-0.000000																										0.000000																																												-0.008563	0.009878																			0.000000	
 3 	 16			9.791966		0.000001																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.008488	0.009956																			0.000000	
 3 	 17			9.792073		0.000001																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.008541	0.009902																			0.000000	
 3 	 18			7.216117		0.000001																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.009200	0.009298																			0.000000	
 3 	 19			5.154750		0.000001																																																																													-5.154440						-0.000000											-0.000000																										0.000000																																												-0.009693	0.009381																			0.000000	
 3 	 20			3.866162		0.000001																																																																													-3.865830						-0.000000											-0.000000																										0.000000																																												-0.009739	0.009406																			0.000000	
 3 	 21			2.577461		0.000001																																																																													-2.577220						-0.000000											-0.000000																										0.000000																																												-0.009729	0.009487																			0.000000	
 3 	 22			1.650088		0.000001																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.009977	0.009308																			0.000000	
 3 	 23			1.032124		0.000001																																																																													-1.030888						-0.000000											-0.000000																										0.000000																																												-0.010183	0.008946																			0.000000	
 3 	 24			0.414786		0.000001																																																																													-0.412355						-0.000000											-0.000000																										0.000000																																												-0.010822	0.008390																			0.000000	
 4 	 1			0.259892		0.000001																																																																													-0.257722						-0.000000											-0.000000																										0.000000																																												-0.010695	0.008523																			0.000000	
 4 	 2			0.104597		0.000001																																																																													-0.103089						-0.000000											-0.000000																										0.000000																																												-0.010019	0.008510																			0.000000	
 4 	 3			0.053679		0.000001																																																																													-0.051544						-0.000000											-0.000000																										0.000000																																												-0.010291	0.008156																			0.000000	
 4 	 4			0.620328		0.000001																																																																													-0.618533						-0.000000											-0.000000																										0.000000																																												-0.010411	0.008614																			0.000000	
 4 	 5			1.650009		0.000001																																																																													-1.649421						-0.000000											-0.000000																										0.000000																																												-0.009926	0.009336																			0.000000	
 4 	 6			4.123852		0.000001																																																																													-4.123552						-0.000000											-0.000000																										0.000000																																												-0.009696	0.009395																			0.000000	
 4 	 7			7.987490		0.000001																																																																													-7.989381						-0.000000											-0.000000																										0.000000																																												-0.008344	0.010234																			0.000000	
 4 	 8			6.957650		0.000001																																																																													-6.958494						-0.000000											-0.000000																										0.000000																																												-0.008755	0.009598																			0.000000	
 4 	 9			6.442573		0.000001																																																																													-6.443050						-0.000000											-0.000000																										0.000000																																												-0.009258	0.009733																			0.000000	
 4 	 10			7.215353		0.000001																																																																													-7.216216						-0.000000											-0.000000																										0.000000																																												-0.008758	0.009620																			0.000000	
 4 	 11			8.245842		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008606	0.009867																			0.000000	
 4 	 12			9.070083		0.000001																																																																													-9.071814						-0.000000											-0.000000																										0.000000																																												-0.008410	0.010140																			0.000000	
 4 	 13			8.245738		0.000001																																																																													-8.247103						-0.000000											-0.000000																										0.000000																																												-0.008565	0.009930																			0.000000	
 4 	 14			8.348715		0.000001																																																																													-8.350192						-0.000000											-0.000000																										0.000000																																												-0.008514	0.009990																			0.000000	
 4 	 15			9.379060		0.000001																																																																													-9.381080						-0.000000											-0.000000																										0.000000																																												-0.008277	0.010297																			0.000000	
 4 	 16			9.791239		0.000001																																																																													-9.793435						-0.000000											-0.000000																										0.000000																																												-0.008200	0.010395																			0.000000	
